Release挀请开启零件装配 Please open a part or assembly document. 攁零件装配里运行 Please open a part  or assembly document.	Откройте деталь или сборку (Please open a part or assembly document)
零部件文档(*.sldprt;*.sldasm)|*.sldprt;*.sldasm|零件(*.sldprt)|*.sldprt|部件(*.sldasm)|*.sldasm|All Files (*.*)|*.*|	(фильтр файлов — не переводить без патча)
Current model is not saved. Either save the model or specify the full path to the output file当前文档未保存	Текущая модель не сохраняется. Либо сохраните модель, либо укажите полный путь к выходному файлу. Текущая модель не сохраняется.
sw文件(*.sldprt,*.sldasm)|*.sldprt;*.sldasm|零件文件(*.sldprt)|*.sldprt|装配体文件(*.sldasm)|*.sldasm|所有文件|*.*	Файлы SW (*.sldprt;*.sldasm)|*.sldprt;*.sldasm|Детали (*.sldprt)|*.sldprt|Сборки (*.sldasm)|*.sldasm|Все файлы|*.*
不能得到方向,请选择柱面、平面、直线、基准面作为方向元素Failed to find the direction. Please select cylindrical face or plane	Не удалось найти направление. Пожалуйста, выберите цилиндрическую грань или плоскость
1.1 在装配体或多实体零件里选择两个正交或平行的铜排的打孔面A和B,  将根据搭接部分尺寸，按打孔规则在A和B件上创建1或2或4个孔；1.2 根据AB搭接按开孔规则在ABCD...面开孔	1.1 Выберите поверхности штамповки A и B двух ортогональных или параллельных медных стержней в сборке или составной детали. В зависимости от размера перекрывающейся части на частях А и Б в соответствии с правилами сверления будут созданы 1, 2 или 4 отверстия; 1.2 По перекрытию АВ на поверхности ABCD... будут выполнены отверстия согласно правилам сверления.
3.2.7.1 20260124 圆管展开7.1增加支持优弧和弯管分割线 方管展开4.0 孔匹配检查5.0分列类型 增加方管规格选项(外R可不取) 方通公母端V11.5保留孔误切其他实体	3.2.7.1 20260124 Расширение круглой трубы 7.1 добавлена поддержка оптимальных линий разделения труб по дуге и изгибу Расширение квадратной трубы 4.0 Проверка соответствия отверстий 5.0 Тип компоновки Добавлены параметры спецификации квадратной трубы (внешний R необязателен) Внешняя и охватывающая концы квадратной трубы V11.5 сохраняют отверстия для вырезания других объектов по ошибке
----------------------------左视图尺寸链标注-------------------------------------------------------:	-------------------------------Аннотация размерной цепочки вида слева ------------------------------------------------------------:
普通机床、测量仪器、量具及模具的基准面和工作面，高精度轴承座圈、端盖、挡圈的端面机床主轴孔对基准面要求，要轴承孔对基准面要求，床头箱体重要孔间要求，一般减速器壳体孔、齿轮泵的轴孔端面等	Базовая плоскость и рабочая поверхность обычных станков, измерительных инструментов, измерительных инструментов и форм, торцы высокоточных обойм подшипников, торцевых крышек и опорных колец, требования к отверстию шпинделя станка к базовой плоскости, требования к опорному отверстию к базовой плоскости, требования между важными отверстиями тумбочки, торцевая грань общего отверстия корпуса редуктора, отверстие вала шестеренного насоса и т. д.
低精度机床主要基准面和工作面，回转工作台端面跳动，一般导轨，主轴箱体孔，刀架、砂轮架及工作台回转中心，机床轴肩、气缸配合面对其轴线，活塞销孔对活塞中心线以及装F、G级轴承壳体孔的轴线等	Основная базовая плоскость и рабочая поверхность низкоточных станков, торцевое биение поворотного стола, общая направляющая, отверстие в коробке шпинделя, подручник, подставка для шлифовального круга и центр вращения рабочего стола, плечо станка, сопрягаемая поверхность цилиндра и его ось, отверстие поршневого пальца к осевой линии поршня и ось отверстий корпуса подшипника классов F и G и т. д.
----------------------------左视图长宽标注-------------------------------------------------------:	-------------------------------Размеры длины и ширины, вид слева -------------------------------------------------------------:
----------------------------俯视图长宽标注-------------------------------------------------------:	-------------------------------Отметка длины и ширины на виде сверху ------------------------------------------------------------:
一般量仪主轴，测杆外圆，陀螺仪轴颈，一般机床主轴，较精密机床主轴箱孔，柴油机、汽油机活塞、活塞销孔，铣床动力头、轴承箱座孔，高压空气压缩机十字头销、活塞，较低精度滚动轴承配合的轴	Шпиндель обычного измерительного прибора, внешний круг измерительного стержня, шейка гироскопа, шпиндель общего станка, отверстие в корпусе шпинделя более точного станка, дизельный двигатель, поршень бензинового двигателя, отверстие под поршневой палец, силовая головка фрезерного станка, отверстие седла подшипника, поперечный штифт воздушного компрессора высокого давления, поршень, соответствующий вал подшипника качения более низкой точности
用于3级平板，自动车床床身底面的平面度，车床挂轮架的平面度，柴油机气缸体，摩托车的曲轴箱体、汽车变速箱的壳体，汽车发动机缸盖结合面、阀片的平面度，以及辅助机构及手动机械的支承面	Применяется для плоскостности плоских пластин 3 уровня, плоскостности нижней поверхности станин токарных автоматов, плоскостности рам колес токарных станков, блоков цилиндров дизелей, картеров мотоциклов, картеров коробок передач автомобилей, плоскостности сочленений головок цилиндров автомобильных двигателей, тарелок клапанов, опорных поверхностей вспомогательных механизмов и ручных машин.
过程将花费The processing will take around 持 分钟请确认要删除所有图层minutes , Sure Delete All Layer Now?	Процесс займёт несколько минут. Удалить все слои? (Sure Delete All Layer Now?)
用于3级平板、机床溜板箱、立钻工作台、螺纹磨床的挂轮架，金相显微镜的载物台，柴油机气缸体，连杆缸盖的结合面，阀片的平面度，空气压缩机的分离面的气缸体，液压管件和法兰的连接面等	Используется для трехуровневых плоских пластин, направляющих станков, вертикальных сверлильных столов, стоек для резьбошлифовальных станков, столиков металлографического микроскопа, блоков цилиндров дизельных двигателей, поверхностей соединения крышек цилиндров шатунов, плоскостности тарелок клапанов, блоков цилиндров с разделительной поверхностью воздушного компрессора, фитингов гидравлических труб и поверхностей фланцевых соединений и т. д.
普通机床导轨、精密机床重要零件，机床重要支承面，普通机床主轴偏摆，发动机轴和离合器的凸缘; 气缸的支承端面，装C、D级轴承的箱体的凸肩，液压传动轴瓦端面，量具、量仪的重要端面	Обычные направляющие станков, важные детали прецизионных станков, важные опорные поверхности станков, отклонение шпинделя обычного станка, вал двигателя и фланцы сцепления; опорные торцы цилиндров, плечи коробок, оснащенных подшипниками класса С и D, торцы подшипников гидротрансмиссии, важные торцы измерительных инструментов и измерительных приборов
试 The selected view has NO assembly found, Please select an assembly view to run again	повторите The selected view has NO assembly found — выберите вид сборки и запустите снова
低速发动机、减速器、大功率曲柄轴轴颈，压气机连杆盖、体，拖拉机汽缸体、活塞; 炼胶机冷铸轴辊，印刷机传墨辊，内燃机曲轴，柴油机机体孔，凸轮轴，拖拉机，小型船用柴油机汽缸套	Низкооборотные двигатели, редукторы, шейки коленчатого вала большой мощности, крышки и корпуса шатунов компрессоров, блоки цилиндров и поршни тракторов; ролики вала холодного литья для резиносмесительных машин, ролики переноса краски для печатных машин, коленчатые валы двигателей внутреннего сгорания, отверстия в корпусе дизельных двигателей, распределительные валы, тракторы, гильзы цилиндров малых судовых дизельных двигателей
X匀    in the SolidBodyFolder  BodyCount    儀建模特征已造成切割清单变化，提取多钣金切割清单属性宏需压缩解压缩重新提取清单属性	Элементы модели изменили список вырезов: сожмите/разожмите и повторно извлеките свойства (отладочная строка)
仪表端盖外圆，一般机床主轴及箱孔，中等压力液压装置工作面(包括泵、压缩机的活塞和汽缸)，汽车发动机凸轮轴，纺机锭子，通用减速器轴颈，高速船用发动机曲轴，拖拉机曲轴主轴颈	Внешний круг торцевой крышки инструмента, общий шпиндель станка и отверстие коробки, рабочая поверхность гидравлического устройства среднего давления (включая насос, поршень и цилиндр компрессора), распределительный вал автомобильного двигателя, шпиндель текстильной машины, общая шейка редуктора, коленчатый вал высокоскоростного судового двигателя, главная шейка коленчатого вала трактора
精密机床导轨、普通机床主要导轨，机床主轴轴向定位面; 精密机床主轴肩端面，滚动轴承座圈端面，齿轮测量仪的心轴，光学分度头心轴，涡轮轴端面，精密刀具、量具的基准面和工作面	Направляющие прецизионных станков, главные направляющие обычных станков, поверхности осевого позиционирования шпинделей станков; торцы заплечиков шпинделей прецизионных станков, торцы обойм подшипников качения, оправки зубоизмерительных приборов, оправки оптических индексирующих головок, торцы валов турбин, базовые плоскости и рабочие поверхности прецизионных инструментов и измерительных инструментов
----------------------------主视图长宽尺寸标注---------------------------------------------:	----------------------------------Размеры длины и ширины основного вида------------------------------------------------:
----------------------------主视图界线标注标注---------------------------------------------:	-------------------------------Разметка границ основного вида--------------------------------:
----------------------------主视图尺寸链标注---------------------------------------------:	-------------------------------Аннотация размерной цепочки основного вида------------------------------------------------:
已有爆炸步骤,请选择零件加入后续步骤笁由闷大AutoExplode改编，增加无选择时为选择所有零部件进行系统的自动爆炸,有选择按零部件的外形尺寸进行倍矩逐项爆炸	Шаги разнесения уже есть — выберите детали для следующих шагов. (Переработка AutoExplode: без выбора — авторазнесение всех компонентов; с выбором — последовательное разнесение по габаритам с множителями)
<script>alert('Unable to initialize the Excel application未能初始化EXECL应用')</script>	<script>alert('Невозможно инициализировать Применить Excel, не удалось инициализировать Применить EXECL')</script>
BFEBFBFF000906A3|NVMe Samsung SSD 970 EVO Plus 500GB|50:EB:F6:93:A1:BD:(主板网卡)	BFEBFBFF000906A3|NVMe Samsung SSD 970 EVO Plus 500 ГБ|50:EB:F6:93:A1:BD:(сетевая карта материнской платы)
用于精密量具，测量仪器和精度要求极高的精密机械零件，如高精度量规、样板平尺、工具显微镜等精密测量仪器的导轨面，喷油嘴针阀体端面，油泵柱塞套端面等高精度零件	Используется для прецизионных измерительных инструментов, измерительных приборов и прецизионных механических деталей с чрезвычайно высокими требованиями к точности, таких как поверхности направляющих прецизионных измерительных приборов, таких как высокоточные измерительные приборы, модельные плоские линейки, инструментальные микроскопы, торцевые поверхности корпусов игольчатых клапанов топливных форсунок, торцевые поверхности втулок плунжера масляного насоса и других высокоточных деталей.
2.0.12.2  20231213 型材BOM表3.0增加定制表输出，定制功能权限，装配出图报警,系列updatecutlist更新，取配置特定管理器	2.0.12.2 20231213 Таблица спецификации профиля 3.0 добавляет настраиваемый вывод таблицы, настраиваемые разрешения функций, сигнализацию чертежа сборки, обновление серии, обновление списка элементов и менеджер для конкретной конфигурации.
BFEBFBFF000B06A2|NVMe WD PC SN560 SDDPNQE-1T00-1002|F4:C8:8A:72:59:CF:(主板网卡)	BFEBFBFF000B06A2|NVMe WD PC SN560 SDDPNQE-1T00-1002|F4:C8:8A:72:59:CF:(сетевая карта материнской платы)
BFEBFBFF000B06A2|NVMe WD PC SN560 SDDPNQE-1T00-1002|08:BF:B8:2F:3A:08:(主板网卡)	BFEBFBFF000B06A2|NVMe WD PC SN560 SDDPNQE-1T00-1002|08:BF:B8:2F:3A:08:(сетевая карта материнской платы)
---------------------------俯视图尺寸链标注--------------------------------------:	----------------------------Аннотация размерной цепочки, вид сверху ----------------------------------------------:
2.实体和钣金工程图都会插入焊接清单表,模板文件为solidwork目录下mytemplates子目录里的weldtable.sldwldtbt文件	2. Чертежи твердого металла и листового металла будут вставлены в таблицу списка сварки. Файлом шаблона является файлweldtable.sldwldtbt, расположенный в подкаталоге mytemplates каталога Solidwork.
2.實體和钣金工程圖都會插入焊接清單表,模板文件爲solidwork目錄下mytemplates子目錄裏的weldtable.sldwldtbt文件	2. Чертежи твердого металла и листового металла будут вставлены в таблицу списка сварки. Файлом шаблона является файлweldtable.sldwldtbt, расположенный в подкаталоге mytemplates каталога Solidwork.
BFEBFBFF000A06A4|JMicron Generic SCSI Disk Device|18:93:41:E8:C7:6D:(主板网卡)	BFEBFBFF000A06A4|JMicron Generic SCSI Disk Device|18:93:41:E8:C7:6D:(Сетевая карта материнской платы)
或百度网盘链接：https://pan.baidu.com/s/1Bm4il5KWyKZvys8m2-1SyQ?pwd=onsw 提取码：onsw	Или ссылку на сетевой диск Baidu: https://pan.baidu.com/s/1Bm4il5KWyKZvys8m2-1SyQ?pwd=onsw Код извлечения: onsw
BFEBFBFF000906ED|KXG60ZNV512G NVMe TOSHIBA 512GB|00:4E:01:99:10:6C:(主板网卡)	BFEBFBFF000906ED|KXG60ZNV512G NVMe TOSHIBA 512 ГБ|00:4E:01:99:10:6C:(Сетевая карта материнской платы)
用于普通机床导轨面，如普通车床、龙门刨床、滚齿机、自动车床等的床身导轨、立柱导轨、滚齿机、卧式镗床、铣床的工作台及机床主轴箱导轨、柴油机体结合面等	Используется для поверхностей направляющих рельсов обычных станков, таких как направляющие станины, направляющие колонны обычных токарных станков, портальных строгальных станков, червячных станков, токарных автоматов и т. д., зубофрезерных станков, горизонтально-расточных станков, рабочих столов фрезерных станков и направляющих коробки шпинделя станка, поверхностей соединений корпуса дизельного двигателя и т. д.
Active configuration name: 夀未选到任何零件,按<是>则根据所选基准面和方向进行系统自带的自动爆炸,按<取消>返回窗体	Не выбрано ни одной детали. <Да> — системное авторазнесение по выбранной базовой плоскости и направлению; <Отмена> — вернуться в форму
BFEBFBFF000906A3|NVMe Micron_3400_MTFDKBA512TFH|50:EB:F6:93:A1:BD:(主板网卡)	BFEBFBFF000906A3|NVMe Micron_3400_MTFDKBA512TFH|50:EB:F6:93:A1:BD:(сетевая карта материнской платы)
BFEBFBFF000906EA|INTEL SSDSCKKF512G8 SATA 512GB|D0:C6:37:A6:42:44:(主板网卡)	BFEBFBFF000906EA|INTEL SSDSCKKF512G8 SATA 512 ГБ|D0:C6:37:A6:42:44:(сетевая карта материнской платы)
大功率低速柴油机曲轴;活塞、活塞销、连杆、汽缸，高速柴油机箱体孔，千斤顶或压力油缸活塞，液压传动系统的分配机构，机车传动轴，水泵及一般减速器轴颈	Коленчатый вал тихоходного дизеля повышенной мощности; поршень, поршневой палец, шатун, цилиндр, отверстие в корпусе высокооборотного дизеля, поршень домкрата или гидроцилиндра, распределительный механизм системы гидропередачи, приводной вал локомотива, водяной насос и шейка общего редуктора
（五）如在平面上，自动识别最长边和对边，形成与长边的距离或居中效果，并自动取一个端点形成正交距离定位，并对数值进行圆整，改变端距和边距重新定位	(5) На плоскости автоматически распознаются длиннейшая и параллельная ей кромки: позиция — по расстоянию или по центру; берётся торец для ортогональной привязки; значения округляются; меняйте торцевой и боковой отступы для перепозиционирования
（四）如在平面上，自动识别最长边和对边，形成与长边的距离或居中效果，并自动取一个端点形成正交距离定位，并对数值进行圆整，改变端距和边距重新定位	(4) На плоскости автоматически распознаются длиннейшая и параллельная ей кромки: позиция — по расстоянию или по центру; берётся торец для ортогональной привязки; значения округляются; меняйте торцевой и боковой отступы для перепозиционирования
不建议勾选，大装配可能造成数据读取极慢现象，SW系统也是建议取消自动更新切割清单，2024年4月20日增加组件个数，数量大于200则此项无效	Не рекомендуется устанавливать этот флажок. Большие сборки могут привести к чрезвычайно медленному чтению данных. Система ПО также рекомендует отменить автоматическое обновление списка раскроя. 20 апреля 2024 года количество компонентов будет увеличено. Если число больше 200, этот элемент будет недействителен.
较精密机床主轴、精密机床主轴箱孔，高压阀门活塞、活塞销、阀体孔;小工具显微镜顶针，高压油系柱塞，较高精度滚动轴承配合的轴、铣床动力头箱体孔等	Относительно точные шпиндели станков, отверстия в коробке шпинделя прецизионного станка, поршни клапанов высокого давления, поршневые пальцы, отверстия корпуса клапана; Наперстки для небольших инструментальных микроскопов, плунжеры масляной системы высокого давления, соответствующие валы высокоточных подшипников качения, отверстия в коробке силовой головки фрезерного станка и т. д.
-----deleting layer正在删除的图层:匁XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX	--- удаление слоя: XXXX…
本地移形换影-复制曲面焁Open a part or assembly document, then rerun this macro.	Локальный перенос — копирование граней. Откройте деталь или сборку и перезапустите макрос
按<是Yes>切换为根据系统字体的更改自动缩放，按<否No>切换为根据系统DPI的更改自动缩放，按<取消Cancel>回归为保持原始大小	Нажмите <Да>, чтобы переключиться на автоматическое масштабирование в соответствии с изменениями системных шрифтов, нажмите <Нет>, чтобы переключиться на автоматическое масштабирование в соответствии с изменениями системного разрешения, и нажмите <Отмена>, чтобы вернуться к сохранению исходного размера.
2.0.4.2  20230510 槽钢剪裁V4.0, 孔匹配V3.6增加后缀(M某底孔) 属性材料V4.2重组式打包工程图未包括BUG	2.0.4.2 20230510 Резка стального швеллера V4.0, соответствие отверстий V3.6 добавлен суффикс (M определенное нижнее отверстие) материал атрибута V4.2 реструктурированный инженерный чертеж упаковки не включает ОШИБКУ
BFEBFBFF000906EC|SAMSUNG MZVLB512HAJQ-00000|B4:2E:99:64:3E:63:(主板网卡)	BFEBFBFF000906EC|SAMSUNG MZVLB512HAJQ-00000|B4:2E:99:64:3E:63:(сетевая карта материнской платы)
BFEBFBFF000A0652|SAMSUNG MZVLB1T0HBLR-00000|3C:7C:3F:5F:CC:67:(主板网卡)	BFEBFBFF000A0652|SAMSUNG MZVLB1T0HBLR-00000|3C:7C:3F:5F:CC:67:(Сетевая карта материнской платы)
用于机床传动机箱,挂轮箱体,车床溜板箱体,主轴箱体，柴油机气缸体,连杆分离面，缸盖结合面,汽车发动机缸盖，曲轴箱体等及减速箱壳体的结合面	Используется для корпусов трансмиссии станков, корпусов подвесных колес, корпусов салазок токарных станков, корпусов шпинделей, блоков цилиндров дизельных двигателей, поверхностей разделения шатунов, поверхностей соединения головок цилиндров, головок цилиндров автомобильных двигателей, картеров и т. д., а также поверхностей соединений корпусов редукторов.
（一）在选择面框里没有任何选择时点智选将整体进行立体选面，识别为方管的实体都选择一个刻字面；如果已选一面，将根据此面进行同平面选其它面	(1) Если грани не выбраны, «умный выбор» объёмно выберет по грани маркировки у каждого тела, распознанного как труба; если грань выбрана — будут взяты все соплоскостные с ней
BFEBFBFF000906A3|BC711 NVMe SK hynix 512GB|04:BF:1B:10:05:E3:(主板网卡)	BFEBFBFF000906A3|BC711 NVMe SK hynix 512 ГБ|04:BF:1B:10:05:E3:(сетевая карта материнской платы)
SOLIDWORKS Premium 2025 SP3.0 - [219.02.000 Лестница(6+4) - 图纸1 *]	SOLIDWORKS Premium 2025 SP3.0 - [219.02.000 Лестница(6+4) - Лист1 *]
另一文档数非零件装配体,无法完成此操作崁按<是>则将另一装配体插入到当前装配,按<否>则将当前装配插入另一装配体中,按取消无操作退出	Другой документ — не деталь/сборка, операция невозможна. <Да> — вставить другую сборку в текущую; <Нет> — вставить текущую сборку в другую; <Отмена> — выход без действий
主视图连续尺寸孔标注-------------------------------------------------------:	Аннотация непрерывного размера отверстия на виде спереди -------------------------------------------------------------:
左视图连续尺寸孔标注-------------------------------------------------------:	Маркировка отверстий со сплошными размерами на виде слева -------------------------------------------------------------:
文档属性复制器DocumentPropertiesCopier V2.4--Francis原创PYCZT改编--OnCadTools	DocumentPropertiesCopier V2.4 — оригинальная адаптация Фрэнсиса PYCZT — OnCadTools
3.2.0.1 20251013 弧立组件另存增加顺序号保存，折弯线切角增加折弯解压缩，H钢剪裁延伸，圆管展开6.0增加单根弧管展开	3.2.0.1 20251013 Сохраните вертикальный компонент дуги и добавьте порядковый номер для сохранения, добавьте изгиб и декомпрессию для обрезки угла линии изгиба, обрезку и удлинение стали H, а также разверните круглую трубу 6.0, чтобы добавить расширение одной дуговой трубы.
2.0.3.2  20230412  自动出图优化（钣金智能剖面）,BOM可同时取自定义与配置属性,多实体出图与自动出图采用相同办法	2.0.3.2 20230412 Автоматическая оптимизация чертежей (интеллектуальный раздел листового металла), спецификация может одновременно получать пользовательские атрибуты и атрибуты конфигурации, чертежи нескольких объектов и автоматические чертежи используют один и тот же метод.
1.8.5.17 20220528 标注复制再次修正取尺寸问题，增加圆孔标注复制,增加平板图在图框下方选项,方通转正按纽提到第一位置	1.8.5.17 20220528 Проблема с размерами снова исправлена при копировании этикеток, добавлено копирование этикеток с круглыми отверстиями, под рамкой изображения добавлена опция плоской диаграммы, а кнопка поворота квадрата поднята в первое положение.
此功能根据边界参考面和距离，方向建立等距曲面，再逐个用插入替换面特征实现所选实体的端面延伸或缩短，最后删除第一步骤生成的等距面曲面	Функция строит эквидистантные поверхности по опорной грани, расстоянию и направлению, затем заменой граней удлиняет/укорачивает торцы выбранных тел и удаляет вспомогательные поверхности
（二）说明：1.第一选择草图平面；2.第二和第三为相对尺寸参考面或边或不作选择；3.选好规格，切除出门轴孔点“我错了” 特征回退。	(2) Примечание: 1. Первый выбор — плоскость эскиза; 2. Второй и третий — опорные грани/кромки или ничего; 3. Выберите типоразмер и постройте вырез; «Я ошибся» — откат элемента.
连续尺寸孔水平标注-------------------------------------------------------:	Горизонтальные размеры отверстий непрерывного размера -------------------------------------------------------------:
连续尺寸孔竖直标注-------------------------------------------------------:	Вертикальная маркировка отверстий сплошного размера -------------------------------------------------------------:
BFEBFBFF000A06A4|SKHynix_HFS001TEJ4X112N|40:C2:BA:4A:24:F5:(主板网卡)	BFEBFBFF000A06A4|SKHynix_HFS001TEJ4X112N|40:C2:BA:4A:24:F5:(сетевая карта материнской платы)
BFEBFBFF000A06A4|SKHynix_HFS001TEJ4X112N|18:93:41:E8:C7:6D:(主板网卡)	BFEBFBFF000A06A4|SKHynix_HFS001TEJ4X112N|18:93:41:E8:C7:6D:(сетевая карта материнской платы)
BFEBFBFF000A06A4|SKHynix_HFS001TEJ4X112N|22:19:F9:E3:C0:60:(主板网卡)	BFEBFBFF000A06A4|SKHynix_HFS001TEJ4X112N|22:19:F9:E3:C0:60:(сетевая карта материнской платы)
BFEBFBFF000B0671|Samsung SSD 990 PRO 2TB|C4:C6:E6:3D:19:E7:(主板网卡)	BFEBFBFF000B0671|Samsung SSD 990 PRO 2 ТБ|C4:C6:E6:3D:19:E7:(сетевая карта материнской платы)
